complaint_id,filed_on,resolved_on,ward,category,description,status,channel,priority,citizen_age,satisfaction_score
GRV-1000,2025-01-11,,Ward-09,Public Property,Park benches broken and vandalised,Open,Walk-In,Low,25.0,nan
GRV-1001,2026-01-10,2026-01-31,Ward-18,Public Property,Park benches broken and vandalised,Resolved,Mobile App,Medium,53.0,3.0
GRV-1002,2025-08-05,,Ward-08,Water Supply,No water supply for 3 days,Open,WhatsApp,Medium,,nan
GRV-1003,2025-07-04,2025-08-02,Ward-18,Sewage & Drainage,Blocked drain causing flooding in colony,Resolved,Website,Low,,3.0
GRV-1004,2024-11-28,2024-12-26,Ward-01,Sewage & Drainage,Foul smell from open drainage channel,Resolved,Walk-In,Medium,33.0,3.0
GRV-1005,2025-06-01,,Ward-11,Road & Infrastructure,Broken footpath causing injury to pedestrians,Open,Mobile App,Low,68.0,nan
GRV-1006,2025-03-16,2025-03-30,,Water Supply,Dirty/contaminated water coming from tap,Resolved,WhatsApp,Low,67.0,2.0
GRV-1007,2025-09-05,,Ward-13,Water Supply,Water pipeline leakage on main road,In Progress,Mobile App,Medium,61.0,nan
GRV-1008,2025-04-24,2025-04-28,Ward-12,Noise & Pollution,Dust from road construction affecting residents,Closed,WhatsApp,Low,19.0,2.0
GRV-1009,2026-01-20,2026-01-22,Ward-10,Water Supply,No water supply for 3 days,Resolved,Mobile App,High,27.0,4.0
GRV-1010,2025-07-23,,Ward-15,Noise & Pollution,Construction noise beyond permitted hours,In Progress,Phone Call,Low,64.0,nan
GRV-1011,2025-05-05,2025-05-14,Ward-03,Road & Infrastructure,Road completely waterlogged after rain,Resolved,WhatsApp,Medium,46.0,1.0
GRV-1012,2026-03-05,,Ward-13,Sewage & Drainage,Blocked drain causing flooding in colony,Open,Phone Call,Critical,,nan
GRV-1013,2025-10-27,,Ward-11,Public Property,Encroachment on footpath by shop owners,Open,Mobile App,Low,22.0,nan
GRV-1014,2024-11-10,,Ward-03,Water Supply,Dirty/contaminated water coming from tap,In Progress,Walk-In,Critical,29.0,nan
GRV-1015,2025-01-07,,Ward-16,Sewage & Drainage,Foul smell from open drainage channel,Open,Website,High,52.0,nan
GRV-1016,2026-01-05,,Ward-05,Public Property,Stray dogs attacking residents near park,Open,Walk-In,High,72.0,nan
GRV-1017,2025-10-28,2025-11-25,Ward-14,Sewage & Drainage,Foul smell from open drainage channel,Resolved,WhatsApp,Medium,30.0,1.0
GRV-1018,2025-01-04,,Ward-03,Waste Management,Overflowing dustbin near bus stop,In Progress,Mobile App,High,56.0,nan
GRV-1019,2026-03-25,2026-04-21,Ward-14,Waste Management,Overflowing dustbin near bus stop,Resolved,WhatsApp,Low,68.0,2.0
GRV-1020,2024-10-28,,Ward-17,Street Lighting,Broken street light reported multiple times,Rejected,Phone Call,Critical,28.0,nan
GRV-1021,2026-01-16,2026-02-10,Ward-04,Noise & Pollution,Construction noise beyond permitted hours,Resolved,WhatsApp,High,44.0,4.0
GRV-1022,2025-06-16,,,Noise & Pollution,Burning of garbage creating air pollution,Open,Website,Low,26.0,nan
GRV-1023,2025-05-22,,Ward-06,Water Supply,Dirty/contaminated water coming from tap,Rejected,WhatsApp,Critical,71.0,nan
GRV-1024,2025-01-21,2025-02-02,Ward-17,Noise & Pollution,Burning of garbage creating air pollution,Resolved,WhatsApp,Low,56.0,1.0
GRV-1025,2024-12-20,,Ward-17,Road & Infrastructure,Road completely waterlogged after rain,In Progress,Mobile App,Medium,,nan
